-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.3 (Endend before Late November Migration) Reputation (REP) as of 05.12.2022 (Second iteration)

0xC8dEbd0E72524deaadE5567E228aA8FF002B4926 : 112139 	: 5.078 %
0xAfB08B347DdCB0356d607C0CDeCC471070082992 : 46333 	: 2.098 %
0xE633E34a8435e3779Dd50aF953c3ddb01Beb5B7A : 41076 	: 1.86 %
0x5241aa99a776866296D1d695C02bB2E31B3Ff998 : 34483 	: 1.562 %
0xfbe0DA7F87D1979812B3a68fc07fb7231EC80c16 : 31450 	: 1.424 %
0x3aC5260f6899fDDF6437569B09652bc3087693f4 : 27729 	: 1.256 %
0x8e48C7eA3A8D09D8dB020B20FED292AF72B6eFf2 : 25838 	: 1.17 %
0x9a1F0a6207d4795FFc3a4077520992F3503707BE : 23792 	: 1.077 %
0xe1D5BD00d59625379E3C3e0093c108de795F4387 : 23281 	: 1.054 %
0x30000Da0A0C82bB1B1829F30EfaCc1E92FFFF110 : 20763 	: 0.94 %
0x1bEEe5d626Da88D88335CCa2b999f8133B752848 : 19204 	: 0.87 %
0x9EF59C331109fAFBbb9C400504f65E3E0DA424FE : 17057 	: 0.772 %
0xa8B9990527329002D61605DC975765580D3137Af : 16381 	: 0.742 %
0x16f17726399DfF6fc84AD013BD9bCB70F39b42d3 : 15251 	: 0.691 %
0x9CF634a6Aec0B4c058c5777A86Eb18390736F92C : 14935 	: 0.676 %
0x375C64495645699CcF0E6F7437Fc602119cA1dE7 : 13075 	: 0.592 %
0x8822645150Ae7E252C404381e07BC9C44552e9F5 : 13035 	: 0.59 %
0xF55eF5B2e84d15D5FB587E035e0A9f7DeF25e4dd : 12307 	: 0.557 %
0xd9d229E34970aF7B53f3485675F57834F8838071 : 10937 	: 0.495 %
0xBf6b707A6f1A0fEd91d275fCa440C0685dDd659B : 10462 	: 0.474 %
0xcE4B720c407D3ffBe545006089d8e8FD55b13670 : 10237 	: 0.464 %
0x710667a0411165D1832dEF444B117347A97878d2 : 9950 	: 0.451 %
0xe8f3b134A23Cc234Fd89b0DC179C179D94184296 : 9489 	: 0.43 %
0x89c4508ABf6C4B90485BB6597dA7072D636e2605 : 9091 	: 0.412 %
0x3D065aeAB0e51aFA06b2EcA7B9c90e6B2B58332A : 8763 	: 0.397 %
0x57ceFD4FebFE44E64075df7e4cC656dA235d63aa : 8307 	: 0.376 %
0xDE3E90b00314C9671DdB5BDd1A84bDE6e0d94CE6 : 8079 	: 0.366 %
0x7bE013C16bE26106B3B43829978aE1eB93f38ea5 : 7890 	: 0.357 %
0xA736408319d3C70DBb04c8752Df88206208a4d7C : 7299 	: 0.331 %
0x46E3b4Fea8eEebfD69AbA268E3c1C0Cfe8F8dDc3 : 6655 	: 0.301 %
0x7D4e9992F6c4F063c7598499Fb7294616890f3Ef : 6531 	: 0.296 %
0x8Da271715786Bfe4d4b74a87BB99a842E9A95d53 : 6496 	: 0.294 %
0x67F035CA9ba9eCE6A0cB068d7829ACA71cdd15A6 : 6188 	: 0.28 %
0x8e5C1397cD01bCe03590514F5d7e055eAE4fbFfc : 6118 	: 0.277 %
0xCDFE2831B3E8B4B5834C2BcC4AA55c84A71e28B9 : 6077 	: 0.275 %
0x71Abf929004384d6380547a412a5aFC126F66908 : 5947 	: 0.269 %
0x7C56Fa6C816210476e286b5d8953eDfFE2847E27 : 5675 	: 0.257 %
0x8836571D0BA76B888702630A6A0a577E3F65D036 : 5637 	: 0.255 %
0xbeCB9bBCB6bCb37C80C58292C9fF00fDE37385d4 : 5553 	: 0.251 %
0x4e7A87287d7D2d074340C81cdaeFAA3F72D88b82 : 5294 	: 0.24 %
0x28E337cff64425F4f17CE07be1901B4D058FBaD7 : 4606 	: 0.209 %
0xFbAEDc13603723f1716dAAD6257e305c49bB4945 : 4466 	: 0.202 %
0x666666Ae96F8c3B003Dc5f9949a09d33605E002F : 4445 	: 0.201 %
