-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.4.3b Reputation (REP) as of 05.12.2022 (Third iteration)

0xF55eF5B2e84d15D5FB587E035e0A9f7DeF25e4dd : 8761459 	: 9.337 %
0xf366F59bBf6Eb8Fea24EEcEF270877cbb74Be8F0 : 6309065 	: 6.723 %
0xC083Ba1C114Be5F6517E36f86a3e45ac8a8b926d : 2435361 	: 2.595 %
0xeaAB5E14562ee17292a332b94ef0D1C48DBCF32A : 1915357 	: 2.041 %
0xb038b2e85a24c21Ddf4886245FdFEac184dA9e15 : 1640277 	: 1.748 %
0xC8dEbd0E72524deaadE5567E228aA8FF002B4926 : 1536506 	: 1.637 %
0x679f6d19dd99733BBB3e83108dFD10eBC9fbe972 : 1095687 	: 1.168 %
0xAfB08B347DdCB0356d607C0CDeCC471070082992 : 1070087 	: 1.14 %
0x067Aa7edfd3B5E56d0e55745B297a2C2A3A91D2C : 974375 	: 1.038 %
0xE144E68C4FFAC71d40d9236C3Cc4B401555aCDE0 : 973352 	: 1.037 %
0xF9c6a5AEa1737efd57F1699C552cBFbA3aE0daCf : 931779 	: 0.993 %
0x72aee4cc8cCb9f6dbCc7623bdd7486f1027dF762 : 919509 	: 0.98 %
0xC1aFe492D281DB68A713dD34e73CEbec5618f73E : 892448 	: 0.951 %
0xcE6385235502abE5eA66c7433F4EaeAE4cC231eB : 892051 	: 0.951 %
0x8895204e9A3388Fa4C77Bc745Abd573646EAa4dF : 859714 	: 0.916 %
0xa1D6d3038002133227Bc88cFE7e1e5bE7D945017 : 854200 	: 0.91 %
0xF6d47E821c80B8E3F699CD24BB73889f6Fa8f360 : 852938 	: 0.909 %
0x21FD2f778Cf406D2c3450944291B05bdE3de26B7 : 852009 	: 0.908 %
0xfbe0DA7F87D1979812B3a68fc07fb7231EC80c16 : 844061 	: 0.899 %
0x16f17726399DfF6fc84AD013BD9bCB70F39b42d3 : 648894 	: 0.691 %
0x24DEe0551E87fB4fC8e3Eb78eb431c4EF3281FF0 : 569527 	: 0.607 %
0x57ceFD4FebFE44E64075df7e4cC656dA235d63aa : 567254 	: 0.604 %
0xfa829732D90Dfc0b48Caa2543ce5B8C317D21AEd : 565870 	: 0.603 %
0x35117F38DF153b16f81c02c47F39d6311BC5a5c2 : 543021 	: 0.579 %
0xE633E34a8435e3779Dd50aF953c3ddb01Beb5B7A : 542197 	: 0.578 %
0x00dfbaf1Cd3732DA11761b4570b1Ce931ed82810 : 443118 	: 0.472 %
0xB5D51c811c5494430c340E7FB2412bBCF757F75b : 442569 	: 0.472 %
0x9Bba04675869D66Fc042cF3ea244D1e5bDA6BF93 : 391769 	: 0.417 %
0x8836571D0BA76B888702630A6A0a577E3F65D036 : 376217 	: 0.401 %
0x112b0704447829f2A15f6f31c0845D1E01624579 : 368749 	: 0.393 %
0x1190090331Ef9B4E6fc2f833f349D415f2a778f4 : 354100 	: 0.377 %
0xD032c12794c977C9DBd416f8A7071b8047D287f3 : 353814 	: 0.377 %
0xDE3E90b00314C9671DdB5BDd1A84bDE6e0d94CE6 : 344041 	: 0.367 %
0xd2c5cA64394ecDC630628a4e434e025D2527e4c8 : 342995 	: 0.366 %
0xd9d229E34970aF7B53f3485675F57834F8838071 : 337244 	: 0.359 %
0x710667a0411165D1832dEF444B117347A97878d2 : 328164 	: 0.35 %
0x7D4e9992F6c4F063c7598499Fb7294616890f3Ef : 322107 	: 0.343 %
0x7b2d72D5eB4d7D6d473301090e36ABF685EfbF22 : 315309 	: 0.336 %
0x294D9805C8952Ad96a1Ae01fdEE302827B5c1f6B : 315033 	: 0.336 %
0xA736408319d3C70DBb04c8752Df88206208a4d7C : 314231 	: 0.335 %
0x0Ef463871d518c916DD1e599d456695dbFeaCd0C : 311893 	: 0.332 %
0xEfd68c05E0cb2414306a1E6672A72e16D03431bc : 303450 	: 0.323 %
0x39F3a4e578e44D588D598690A4D26FD910ba56F3 : 302867 	: 0.323 %
0x4C4B73B70Bea81855aF2bc153a3dCcD44cF26c2B : 293622 	: 0.313 %
0x261d814b51Ab6e52a8ea29bD016f0D0f84986d47 : 279647 	: 0.298 %
0x9EF59C331109fAFBbb9C400504f65E3E0DA424FE : 264103 	: 0.281 %
0x2EDd42B1C62Dca5bA9566e09A3538043581264B4 : 244729 	: 0.261 %
0x5241aa99a776866296D1d695C02bB2E31B3Ff998 : 243620 	: 0.26 %
0x53add0C6d3c72e89012321ccEAE91518a5d48965 : 242611 	: 0.259 %
0x97a904554E4c4C6E0d448AE920140Ac61Bdd7C97 : 241725 	: 0.258 %
0x10BB8Ab9aed0a46B788Fc50A6066D28C39F214FE : 238006 	: 0.254 %
0xd33b6Faf6026031A4482fA7F3DAfac17E3FC48da : 228623 	: 0.244 %
0x2182e01627Dc99e5acB0eA04206E9990C69cebB8 : 224980 	: 0.24 %
0x0e5fF8dC23Eda6055996D97D5Debd811347CF268 : 219626 	: 0.234 %
0x120B1cF62390a917A42C6caD2F740080930eB6f2 : 218693 	: 0.233 %
0x4F6913226836168C2Df1010a353995346aFB2E96 : 216636 	: 0.231 %
0x45dF6475e1A811923B09884342521EDd9F066b12 : 216277 	: 0.23 %
0x22FA332dc7541208e97B6A00a2B2262c39eAfb5d : 210561 	: 0.224 %
