-------------------------------------------------------------------------------------------
User Address 		 : Exorde Testnet v1.3.5b Reputation (REP) as of 27.12.2022 18pm UTC+1 (Fourth iteration)

0xeaAB5E14562ee17292a332b94ef0D1C48DBCF32A : 110680 	: 12.67192 %
0x4F6913226836168C2Df1010a353995346aFB2E96 : 55666 	: 6.37329 %
0xF55eF5B2e84d15D5FB587E035e0A9f7DeF25e4dd : 23680 	: 2.71116 %
0xAfB08B347DdCB0356d607C0CDeCC471070082992 : 13373 	: 1.5311 %
0xb038b2e85a24c21Ddf4886245FdFEac184dA9e15 : 12867 	: 1.47316 %
0x9409940CD0D5A3f726A24293b003e5d3618BaAC8 : 10846 	: 1.24178 %
0xE633E34a8435e3779Dd50aF953c3ddb01Beb5B7A : 7963 	: 0.9117 %
0x2cfA0C5685980fc0Ad53F7daA7da63aF5AFF37CB : 7254 	: 0.83052 %
0x2DCca48E1275B19952156e0EF7EF83E343fb1e2d : 6836 	: 0.78266 %
0xF89bae1E6BE05fDF4a489a9335cf0A3a54a32232 : 6820 	: 0.78083 %
0xa8B9990527329002D61605DC975765580D3137Af : 6489 	: 0.74294 %
0x9EF59C331109fAFBbb9C400504f65E3E0DA424FE : 6265 	: 0.71729 %
0xD0bbDcB7400faE9d7cf26C83f68bB2CbD69169D4 : 5961 	: 0.68248 %
0xFE87D495a16ad1812FcaAb72D4293827E01046D1 : 5367 	: 0.61448 %
0x30000Da0A0C82bB1B1829F30EfaCc1E92FFFF110 : 4827 	: 0.55265 %
0x810E7fFd5411F4CcEba3d177dE6776b345bd7Cfc : 4759 	: 0.54487 %
0x82aF011B5F97562cf0e4EaA9777Ec16fD5591a78 : 4431 	: 0.50731 %
0xb96227D1d429E47F1CcB4EC14ae86BF55d0d8bCE : 4293 	: 0.49151 %
0x33538a8491276d43c751E7c87F700478D639A456 : 4156 	: 0.47583 %
0xb8d31f4B5d337cF8dA94d900178874d00865463B : 4053 	: 0.46403 %
0x643Bdcb4eA07b349BdA789a451E94593fb343cE6 : 3630 	: 0.4156 %
0xEF18e9cAACe5Da2EDa247Fc002344c7c480700C8 : 3559 	: 0.40748 %
0xd07AebaF0aD21010437b9bEA4f1888DF908eAD82 : 3410 	: 0.39042 %
0x4C4B73B70Bea81855aF2bc153a3dCcD44cF26c2B : 3406 	: 0.38996 %
0xC493b2186818a6e4313c5d1aD724D53905570754 : 3378 	: 0.38675 %
0x2fc98B60190b0743B86c7634Cc6c5B2952f837E8 : 3274 	: 0.37485 %
0x9fA5c042903995E097b2df0e17155997c741e438 : 3122 	: 0.35744 %
0x00dfbaf1Cd3732DA11761b4570b1Ce931ed82810 : 3036 	: 0.3476 %
0x4575398899c38F28B961C155bCF69640c0C49eE0 : 2996 	: 0.34302 %
0x4C39450D4ebBc6625F9B01DA16Ba2A0b48D196a1 : 2986 	: 0.34187 %
0x449fBC5ea279B2eD6BC1b84ec0003234CC70E653 : 2925 	: 0.33489 %
0x0Ef463871d518c916DD1e599d456695dbFeaCd0C : 2860 	: 0.32745 %
0x937baDa7bCBD92c807b906a76a332005ea4C210c : 2786 	: 0.31897 %
0xE144E68C4FFAC71d40d9236C3Cc4B401555aCDE0 : 2743 	: 0.31405 %
0x112b0704447829f2A15f6f31c0845D1E01624579 : 2720 	: 0.31142 %
